gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
H2afy2,898.0060831,-1.63E-06,0.09616429,-1.69E-05,0.999986485,0.999986485
Lurap1l,248.8530188,2.09484E-05,0.175417621,0.00011942,0.999904716,0.999970104
Tcea1,1680.603269,8.98311E-05,0.088196879,0.001018529,0.999187332,0.999963205
Igdcc4,872.2897172,0.000125892,0.100336893,0.001254694,0.998998899,0.999963205
Kdm6a,792.5086057,-3.53E-05,0.108606909,-0.000324817,0.999740833,0.999963205
Socs2,701.5098334,-2.80E-05,0.118116354,-0.000237453,0.99981054,0.999963205
Tmem186,472.7428203,-0.000125115,0.12549295,-0.000996987,0.99920452,0.999963205
Fars2,447.1769813,-0.000111418,0.147513989,-0.000755304,0.999397355,0.999963205
Aaas,267.5494046,-6.03E-05,0.159955382,-0.000376956,0.999699232,0.999963205
Acsf2,253.3873508,0.000186153,0.186405619,0.000998644,0.999203198,0.999963205
Alg3,216.9216595,0.000287828,0.189698615,0.001517288,0.998789379,0.999963205
Sirt4,215.0864012,-0.00016087,0.19050926,-0.000844422,0.999326249,0.999963205
Map10,175.4503089,-3.85E-05,0.183189145,-0.000210016,0.999832431,0.999963205
Pcdhga9,170.3493794,-0.00016541,0.200012987,-0.000826994,0.999340154,0.999963205
Jpt2,145.421707,0.000151925,0.21938783,0.000692496,0.999447468,0.999963205
Zbtb46,564.2414994,0.000248244,0.136826298,0.001814301,0.998552398,0.999871818
Ogfod3,91.26641029,-0.000482686,0.268231626,-0.001799512,0.998564198,0.999871818
Frmd7,55.32196726,-0.000634483,0.31145471,-0.002037161,0.998374582,0.999871818
Vipas39,1133.413378,0.000212731,0.091696518,0.002319945,0.998148954,0.999836597
Zfp710,374.9270491,0.000309746,0.138460297,0.002237074,0.998215074,0.999836597
Arrdc2,265.0874102,-0.000430285,0.158786521,-0.002709831,0.99783787,0.999836597
Creb3l1,166.3827386,-0.000481881,0.19055196,-0.002528869,0.997982257,0.999836597
Tmem177,146.3593099,0.000430512,0.19826836,0.002171359,0.998267508,0.999836597
A030001D20Rik,51.53588197,-0.000729434,0.312332598,-0.002335438,0.998136592,0.999836597
Edem2,368.2999567,0.000478978,0.156054283,0.003069302,0.997551055,0.999758261
Hr,123.5520176,0.000634985,0.211183866,0.003006789,0.997600933,0.999758261
Col23a1,436.5442309,-0.00054003,0.156506176,-0.003450537,0.997246875,0.999566383
Nanp,55.92474283,-0.001165856,0.341833915,-0.003410592,0.997278747,0.999566383
Lamp2,2467.064392,-0.000317165,0.087988572,-0.003604616,0.997123938,0.999542238
Tmem14a,362.3659172,0.00049666,0.135000531,0.003678951,0.997064628,0.999542238
Tollip,3195.780404,0.000282821,0.068931516,0.004102929,0.996726346,0.999442236
Rab27b,687.6032131,0.000511563,0.128091689,0.003993723,0.996813479,0.999442236
Rufy1,607.7366567,-0.000498423,0.125377696,-0.003975374,0.996828119,0.999442236
Mrps22,487.1716167,-0.000546163,0.129208897,-0.004226976,0.996627371,0.999437534
Xylt2,1012.437069,-0.000415304,0.093459405,-0.004443683,0.996454465,0.999395209
Lrfn4,1699.723376,0.000475274,0.096545118,0.004922816,0.996072177,0.999165786
Lrch2,1057.586001,0.000640558,0.116819264,0.005483325,0.995624962,0.999165786
A930017M01Rik,325.4502417,0.000857725,0.170475647,0.005031365,0.995985569,0.999165786
Tstd3,281.4919638,0.00081582,0.159226013,0.00512366,0.995911929,0.999165786
Scrt2,204.3784567,-0.000988238,0.193628775,-0.005103778,0.995927792,0.999165786
Dusp5,150.8242452,0.001065405,0.217689376,0.00489415,0.996095049,0.999165786
Gm43668,135.6627865,-0.001149847,0.215108134,-0.005345439,0.995734977,0.999165786
9530080O11Rik,89.19668386,0.00144182,0.261661817,0.005510241,0.995603486,0.999165786
Padi2,58.9985708,-0.001692359,0.323604523,-0.005229712,0.995827312,0.999165786
Trim39,527.2125617,-0.000647282,0.112348044,-0.005761399,0.995403094,0.999140307
Fam184b,442.1098793,0.000764234,0.133029973,0.005744828,0.995416315,0.999140307
Vps39,1614.410005,0.000521951,0.084719096,0.006160958,0.995084298,0.999037873
Scmh1,1165.916089,0.000606616,0.096809966,0.006266052,0.995000447,0.999037873
Tspan33,508.5665706,0.000730781,0.121060732,0.006036485,0.995183611,0.999037873
Etaa1,206.3635059,0.001044466,0.17143926,0.006092339,0.995139047,0.999037873
