"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022411","cellular component disassembly","96/1981","450/18986",0.213333333333333,2.04459700487969,7.65431345347591,5.33165649611992e-12,3.10622307463947e-08,2.68715487404444e-08,"TOP2A/TPX2/CAPZA1/ABCE1/CHMP5/STON1/CAPZA2/CCSAP/STMN1/VTA1/GFM2/TGFBR1/RCHY1/NAPB/RPL23/CKAP2/SEMA5A/PRKAA2/CLASP2/CFL2/EPHA4/ZFAND1/LTN1/OGFOD1/FGF13/STMN2/PIK3CA/ATR/SKIC3/WDR47/SET/DICER1/MTPN/KIF2A/ADAM10/SPAST/PIK3C3/HDGFL3/MAP4K4/ARID1A/WDR1/GCN1/CLEC16A/SARM1/PRKCA/DDR1/MICAL3/MAP4/DCTN1/IQSEC1/SPTBN1/CAPN10/MICAL1/SMARCC2/VPS16/SMARCA4/MID1IP1/AKAP8L/NEK6/FSCN1/LAMC1/NES/PBXIP1/HSF1/TOM1/SPTBN2/PPP1R9B/WNK1/FLOT1/NEDD9/PEX5/DDIT4/SPTBN4/UPF1/FLII/TGFB3/SH3PXD2B/CARMIL1/BAX/FYCO1/SWAP70/MAP1S/ZNF598/APC2/DDR2/LRP1/MAP1A/ACTN2/CCDC88C/PLAAT3/COL6A1/MMP14/GSN/MICAL2/CST3/C1QL1",96
"GO:0050803","regulation of synapse structure or activity","72/1981","318/18986",0.226415094339623,2.16997323631099,7.18124612070448,1.52493244558616e-10,3.12222951890918e-07,2.70100184951978e-07,"MECP2/SLITRK6/CBLN1/SLITRK4/LIN7C/LIN7A/ARF4/LRRN3/LRRTM2/RPS6KA5/FLRT3/SNCA/CRIPT/ZDHHC17/SENP1/YWHAZ/EPHA4/ABHD17B/NAE1/CDC42/PUM2/VPS35/SLC17A6/DHX36/NEGR1/ADAM10/GNA13/FGFR1/ABL1/SRCIN1/SARM1/DCTN1/DLGAP4/NTNG2/SIPA1L1/TANC1/DVL1/CNTNAP1/NLGN2/DLG5/GRID1/CLSTN3/CLSTN1/ADGRB1/DMPK/PPP1R9B/PTPRS/NEDD9/SPARCL1/DAB2IP/EIF4G1/LRRC4B/NRXN2/CC2D1A/LRFN3/DAG1/CTNNA2/SHANK3/SLIT1/ZDHHC8/AGRN/EPHB3/GPR158/IQSEC2/WNT7A/THBS2/IGSF11/KIF1A/LRP4/PCDH8/NTN1/C1QL1",72
"GO:0050807","regulation of synapse organization","71/1981","312/18986",0.227564102564103,2.18098538681578,7.17897372720792,1.60773919614273e-10,3.12222951890918e-07,2.70100184951978e-07,"MECP2/SLITRK6/CBLN1/SLITRK4/LIN7C/LIN7A/ARF4/LRRN3/LRRTM2/RPS6KA5/FLRT3/SNCA/CRIPT/ZDHHC17/SENP1/YWHAZ/EPHA4/ABHD17B/NAE1/CDC42/PUM2/VPS35/DHX36/NEGR1/ADAM10/GNA13/FGFR1/ABL1/SRCIN1/SARM1/DCTN1/DLGAP4/NTNG2/SIPA1L1/TANC1/DVL1/CNTNAP1/NLGN2/DLG5/GRID1/CLSTN3/CLSTN1/ADGRB1/DMPK/PPP1R9B/PTPRS/NEDD9/SPARCL1/DAB2IP/EIF4G1/LRRC4B/NRXN2/CC2D1A/LRFN3/DAG1/CTNNA2/SHANK3/SLIT1/ZDHHC8/AGRN/EPHB3/GPR158/IQSEC2/WNT7A/THBS2/IGSF11/KIF1A/LRP4/PCDH8/NTN1/C1QL1",71
"GO:0007264","small GTPase-mediated signal transduction","97/1981","491/18986",0.19755600814664,1.89338635571534,6.84560937923052,3.74588025472732e-10,5.45587459101034e-07,4.71980912095642e-07,"ECT2/RACGAP1/DOK5/ARHGAP28/STMN1/SCAI/RAP1B/RASGEF1B/NRAS/SHOC2/RAB21/FGD4/YWHAQ/CDC42SE2/RABL3/KRAS/RAB18/CDC42/RAB9B/RND3/RAP1A/DOK6/GDI2/CYRIB/ARHGAP5/GNA13/HACD3/G3BP2/MAP4K4/OPHN1/DBNL/CBL/WASF2/ABL1/TRIM67/RASA3/KNDC1/BCR/GDI1/CDC42EP4/ABR/COL3A1/IQSEC1/SIPA1L1/ARHGEF18/MCF2L/ARHGEF4/RAPGEFL1/PLXNB1/NET1/CADM4/PREX1/TSC2/RIPOR1/ARHGAP39/ARFGAP1/RHOT2/PSD/ADCYAP1R1/FLOT1/SIPA1L3/ARHGAP27/TNK2/SPRY1/CELSR1/STARD13/RAPGEF1/DAB2IP/IQSEC3/SQSTM1/PRAG1/MYO9B/NUCB1/ARHGDIA/HEG1/SWAP70/KANK1/ADGRG1/PLEKHG5/ARHGAP31/IQSEC2/KANK2/BCAR3/NOTCH1/NOTCH2/LRP4/CSF1/ARHGEF25/CCDC88C/SPRY4/CDKN1A/MMD2/ITPKB/DOK3/NTN1/TNS3/CGNL1",97
"GO:0010639","negative regulation of organelle organization","77/1981","371/18986",0.207547169811321,1.98914213328508,6.56709586811912,2.54801788902509e-09,2.96895044429203e-06,2.56840203213729e-06,"CENPF/TOP2A/KNL1/TPX2/CHEK1/ZWILCH/CAPZA1/ARHGAP28/POT1/RAD1/PSMD10/TMEM14A/SNCA/PSMG2/MARCHF7/NBN/H3-3B/KNTC1/TMSB4X/GMFB/CAPZA2/STMN1/CKAP2/GHITM/BUB3/CLASP2/CEP97/NPM1/DCP2/CCP110/FGF13/WAPL/SUB1/HNRNPC/STMN2/PIK3CA/ZNF207/H3-3A/WDR47/GDI2/MTPN/CYRIB/RAD21/HDGFL3/S1PR1/WASF2/EHMT2/CDK10/MAP4/SPTBN1/HUWE1/ARHGEF18/MID1IP1/CLSTN3/HIP1R/SPTBN2/SPTBN4/FLII/ACD/TUBB4A/CTNNA2/SHANK1/CARMIL1/SHANK3/RHPN1/SWAP70/CORO2B/KANK1/CLU/APC2/KANK2/BCL2L2/CCDC88C/PINK1/INPP5J/GSN/CGNL1",77
"GO:0051056","regulation of small GTPase mediated signal transduction","66/1981","300/18986",0.22,2.10849066128218,6.60531774799553,3.073292370129e-09,2.97732980377258e-06,2.57565091160552e-06,"ECT2/RACGAP1/ARHGAP28/STMN1/SCAI/SHOC2/FGD4/CDC42SE2/RABL3/KRAS/CYRIB/ARHGAP5/GNA13/MAP4K4/OPHN1/CBL/ABL1/TRIM67/RASA3/BCR/ABR/COL3A1/IQSEC1/SIPA1L1/ARHGEF18/MCF2L/ARHGEF4/PLXNB1/NET1/CADM4/PREX1/TSC2/RIPOR1/ARHGAP39/ARFGAP1/PSD/ADCYAP1R1/FLOT1/SIPA1L3/ARHGAP27/SPRY1/STARD13/DAB2IP/IQSEC3/SQSTM1/PRAG1/MYO9B/ARHGDIA/HEG1/SWAP70/KANK1/ADGRG1/PLEKHG5/ARHGAP31/IQSEC2/KANK2/NOTCH1/NOTCH2/LRP4/CSF1/ARHGEF25/SPRY4/MMD2/ITPKB/TNS3/CGNL1",66
"GO:0007416","synapse assembly","61/1981","269/18986",0.226765799256506,2.17333440922969,6.61514011184561,3.57729293278545e-09,2.97732980377258e-06,2.57565091160552e-06,"MECP2/SLITRK6/CBLN1/SLITRK4/LIN7C/LIN7A/LRRN3/LRRTM2/FLRT3/SNCA/CRIPT/SENP1/NAE1/PUM2/VPS35/FGF13/NEGR1/GABRB3/GNA13/DBNL/NRG3/FGFR1/ABL1/POU4F1/NTNG2/PLXNB1/BSN/DVL1/NLGN2/DLG5/GRIA1/CLSTN3/CLSTN1/ADGRB1/SPTBN2/PPP1R9B/PLXNA1/PTPRS/EIF4G1/LRRC4B/NRXN2/CC2D1A/LRFN3/PLXNA3/SDK2/SDK1/SHANK3/SLIT1/ZDHHC8/AGRN/EPHB3/ACHE/RAB29/IQSEC2/CSMD2/WNT7A/PLXNB2/THBS2/IGSF11/LRP4/NTN1",61
"GO:0051261","protein depolymerization","36/1981","122/18986",0.295081967213115,2.82807987355285,6.91380950132987,4.54901556035282e-09,3.14788098992204e-06,2.72319261744028e-06,"TPX2/CAPZA1/CAPZA2/CCSAP/STMN1/CKAP2/SEMA5A/CLASP2/CFL2/FGF13/STMN2/PIK3CA/WDR47/MTPN/KIF2A/SPAST/HDGFL3/WDR1/MICAL3/SPTBN1/MICAL1/MID1IP1/NES/SPTBN2/PPP1R9B/SPTBN4/FLII/CARMIL1/SWAP70/MAP1S/APC2/MAP1A/ACTN2/CCDC88C/GSN/MICAL2",36
"GO:1902904","negative regulation of supramolecular fiber organization","45/1981","173/18986",0.260115606936416,2.49296058217809,6.73289103060389,4.86284395971479e-09,3.14788098992204e-06,2.72319261744028e-06,"TPX2/PFDN4/CAPZA1/VBP1/ARHGAP28/SNCA/TMSB4X/GMFB/CAPZA2/STMN1/CKAP2/CLASP2/FGF13/STMN2/PIK3CA/WDR47/MTPN/CYRIB/HDGFL3/S1PR1/WASF2/SPTBN1/ARHGEF18/MID1IP1/HIP1R/SPTBN2/SPTBN4/FLII/TUBB4A/CTNNA2/SHANK1/CARMIL1/SHANK3/RHPN1/SWAP70/CORO2B/KANK1/CLU/APC2/KANK2/HSPG2/CCDC88C/INPP5J/GSN/CGNL1",45
"GO:0032386","regulation of intracellular transport","61/1981","272/18986",0.224264705882353,2.14936380912789,6.51655219116608,5.60537458337574e-09,3.26569123227471e-06,2.82510879002137e-06,"MECP2/ECT2/KIF20B/SVIP/SUMO1/PKIA/YOD1/RNF139/CTDSPL2/RINT1/UFM1/YIPF5/DERL2/RAN/NUP58/XBP1/TXN/RAB21/XPO1/ZFAND1/REEP5/RAB11A/HSP90AA1/TMEM30A/CDC42/PGAP1/VPS35/UHMK1/NCBP2/GCC2/CEP290/RUFY3/FLNA/NUMA1/TRIM28/SUPT6H/RAB11FIP3/SEPTIN8/JUP/CAPN10/SMAD3/PCNT/AKAP8L/RIPOR1/SUFU/EHD1/EZR/WNK1/DYNC1H1/STK11/NDRG4/MSN/PTPN23/LAMP1/ABCA2/BAG3/RAB29/GAS1/ACTN2/MLC1/HAP1",61
