"mouse_gene","human_gene"
"Aldh1l1","ALDH1L1"
"Sox12","SOX12"
"Hs3st1","HS3ST1"
"Hs3st3a1","HS3ST3A1"
"Rbfox1","RBFOX1"
"Aak1","AAK1"
"Abca1","ABCA1"
"Abca3","ABCA3"
"Tap1","TAP1"
"Tap2","TAP2"
"Adcy5","ADCY5"
"Asic1","ASIC1"
"Furin","FURIN"
"Macf1","MACF1"
"Tnk2","TNK2"
"Acot11","ACOT11"
"Inhbb","INHBB"
"Adam12","ADAM12"
"Adamts8","ADAMTS8"
"Coq8a","COQ8A"
"Adcy8","ADCY8"
"Adcyap1r1","ADCYAP1R1"
"Adgra1","ADGRA1"
"Adgrl2","ADGRL2"
"Slc4a2","SLC4A2"
"Slc4a3","SLC4A3"
"Ago2","AGO2"
"Agrn","AGRN"
"Ahr","AHR"
"Tgfb1","TGFB1"
"Crybg1","CRYBG1"
"Akap1","AKAP1"
"Efna5","EFNA5"
"Alas2","ALAS2"
"Aldh3b1","ALDH3B1"
"Alox5","ALOX5"
"Alpl","ALPL"
"Sptan1","SPTAN1"
"Amotl2","AMOTL2"
"Ampd2","AMPD2"
"Dcaf7","DCAF7"
"Angptl2","ANGPTL2"
"Ank1","ANK1"
"Ankib1","ANKIB1"
"Ankrd52","ANKRD52"
"Aox1","AOX1"
"Apba1","APBA1"
"Apba2","APBA2"
"Speg","SPEG"
"Aplp1","APLP1"
"Apoe","APOE"
"App","APP"
"Ar","AR"
"Arf3","ARF3"
"Sorbs2","SORBS2"
"Arhgap23","ARHGAP23"
"Arhgap35","ARHGAP35"
"Arhgap44","ARHGAP44"
"Arhgap6","ARHGAP6"
"Arhgef18","ARHGEF18"
"Arnt2","ARNT2"
"Asap1","ASAP1"
"Ascl1","ASCL1"
"Pard3","PARD3"
"Aspn","ASPN"
"Ass1","ASS1"
"Robo2","ROBO2"
"Ubqln4","UBQLN4"
"Pnpla2","PNPLA2"
"Dtna","DTNA"
"Atp1a1","ATP1A1"
"Atp1b2","ATP1B2"
"Atp2a2","ATP2A2"
"Atp6ap1","ATP6AP1"
"Atp6v0a1","ATP6V0A1"
"Fbxo32","FBXO32"
"Rere","RERE"
"Atxn1","ATXN1"
"Auts2","AUTS2"
"Axin2","AXIN2"
"Csrnp1","CSRNP1"
"B3gat1","B3GAT1"
"Bace2","BACE2"
"Smarcc2","SMARCC2"
"Smarcd1","SMARCD1"
"Bahcc1","BAHCC1"
"Adgrb1","ADGRB1"
"Adgrb2","ADGRB2"
"Bag6","BAG6"
"Trim32","TRIM32"
"Ttc8","TTC8"
"Ckb","CKB"
"Bcl2l1","BCL2L1"
"Bcl9l","BCL9L"
"Itga5","ITGA5"
"Lhx2","LHX2"
"Adgrg6","ADGRG6"
"Bhlhe41","BHLHE41"
"Cdh2","CDH2"
"Bicdl1","BICDL1"
"Bcl2l11","BCL2L11"
"Slc12a7","SLC12A7"
"Frem2","FREM2"
"Slc37a2","SLC37A2"
"Kat6a","KAT6A"
"Gdf11","GDF11"
"Dst","DST"
"Smarca4","SMARCA4"
"Brd2","BRD2"
"Pou3f2","POU3F2"
"Pou4f1","POU4F1"
"Vwc2","VWC2"
"Brpf3","BRPF3"
"Celf5","CELF5"
"Bsn","BSN"
"Btg2","BTG2"
"Dctn1","DCTN1"
"B2m","B2M"
"Phlda3","PHLDA3"
"Dglucy","DGLUCY"
"Ildr2","ILDR2"
"Slc22a5","SLC22A5"
"C4b","C4A"
"C4b","C4B"
"C4b","C4B_2"
"Ptprz1","PTPRZ1"
"Cacnb2","CACNB2"
"Cacnb3","CACNB3"
"Cacna1a","CACNA1A"
"Cacna1b","CACNA1B"
"Cadps","CADPS"
"Calcoco1","CALCOCO1"
"Calml4","CALML4"
"Camk2a","CAMK2A"
"Camk2n1","CAMK2N1"
"Camk2n2","CAMK2N2"
"Camkk1","CAMKK1"
"Camsap1","CAMSAP1"
"Gbp6","GBP6"
"Gbp3","GBP4"
"Gbp3","GBP7"
"Gbp2","GBP1"
"Gbp2","GBP2"
"Gbp2","GBP3"
"Gbp9","GBP6"
"Gbp7","GBP4"
"Gbp7","GBP7"
"Carmil1","CARMIL1"
"Carmil3","CARMIL3"
"Cask","CASK"
"Casp12","CASP12"
"Cnr1","CNR1"
"Hipk2","HIPK2"
"Clptm1","CLPTM1"
"Smox","SMOX"
"Trp53inp1","TP53INP1"
"Pdxk","PDXK"
"Cebpa","CEBPA"
"Pim2","PIM2"
"Gsn","GSN"
"Id1","ID1"
"Klf2","KLF2"
"Rfx2","RFX2"
"Ccng1","CCNG1"
"Ccnd1","CCND1"
"Glul","GLUL"
"Zfp36l1","ZFP36L1"
"Col27a1","COL27A1"
"Meis1","MEIS1"
"H13","HM13"
"Fgfr1","FGFR1"
"Jag1","JAG1"
"Sesn3","SESN3"
"Kdm5b","KDM5B"
"Igdcc4","IGDCC4"
"Tram1l1","TRAM1L1"
"Sidt2","SIDT2"
"Prrx1","PRRX1"
"Trim30d","TRIM5"
"Trim30a","TRIM5"
"Trim34a","TRIM34"
"Rrbp1","RRBP1"
"Col9a3","COL9A3"
"Col18a1","COL18A1"
"Ppp1r13b","PPP1R13B"
"Colec12","COLEC12"
"Slc38a7","SLC38A7"
"Slc44a2","SLC44A2"
"Lama5","LAMA5"
"Cxcr4","CXCR4"
"Nav3","NAV3"
"Ctsf","CTSF"
"Ptprk","PTPRK"
"Sdc2","SDC2"
"Cad","CAD"
"Ranbp9","RANBP9"
"Ywhag","YWHAG"
"Arpp21","ARPP21"
"Cluh","CLUH"
"Robo3","ROBO3"
"Cdon","CDON"
"Zfp703","ZNF703"
